CID100000085	C[N+](C)(C)CC(O)CC(=O)[O-]
CID100001130	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
CID100001134	Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
CID100001206	CN[C@@H](C)Cc1ccccc1
CID100001301	COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
CID100001546	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CID100001690	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
CID100001727	Nc1ccncc1
CID100001775	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
CID100001798	CC(=O)N=c1sc(S(N)(=O)=O)nn1C
CID100001805	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
CID100001875	C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
CID100001971	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
CID100001972	C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
CID100001978	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
CID100001983	CC(=O)Nc1ccc(O)cc1
CID100001986	CC(=O)Nc1nnc(S(N)(=O)=O)s1
CID100001993	CC(=O)OC(C)C[N+](C)(C)C
CID100002021	CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
CID100002022	Nc1nc2c(ncn2COCCO)c(=O)[nH]1
CID100002082	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
CID100002083	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
CID100002085	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
CID100002088	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
CID100002092	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
CID100002094	O=c1[nH]cnc2[nH]ncc12
CID100002099	Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
CID100002118	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
CID100002123	CN(C)c1nc(N(C)C)nc(N(C)C)n1
CID100002130	NC12CC3CC(CC(C3)C1)C2
CID100002133	CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CID100002140	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
CID100002141	NCCCNCCSP(=O)(O)O
CID100002142	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
CID100002145	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CID100002148	Nc1ccc(C(=O)NCC(=O)O)cc1
CID100002153	Cn1c(=O)c2[nH]cnc2n(C)c1=O
CID100002156	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
CID100002159	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
CID100002160	CN(C)CCC=C1c2ccccc2CCc2ccccc21
CID100002161	CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
CID100002162	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
CID100002163	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
CID100002168	CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1
CID100002170	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
CID100002171	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CID100002173	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CID100002177	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
CID100002179	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
CID100002182	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
CID100002187	CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
CID100002215	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
CID100002216	Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1
CID100002232	CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
CID100002244	CC(=O)Oc1ccccc1C(=O)O
CID100002249	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
CID100002250	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
CID100002265	Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
CID100002266	O=C(O)CCCCCCCC(=O)O
CID100002267	CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
CID100002269	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CID100002274	C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
CID100002284	NCC(CC(=O)O)c1ccc(Cl)cc1
CID100002307	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CID100002308	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CID100002311	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
CID100002315	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
CID100002337	CCOC(=O)c1ccc(N)cc1
CID100002341	C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
CID100002344	CN1[C@@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2
CID100002345	[CH2]c1ccccc1
CID100002349	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)CN2[C@H]1C(=O)O
CID100002350	O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1
CID100002351	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
CID100002366	CNCCc1ccccn1
CID100002367	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CID100002369	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
CID100002370	CC(C[N+](C)(C)C)OC(N)=O
CID100002375	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
CID100002391	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
CID100002405	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
CID100002431	CC[N+](C)(C)Cc1ccccc1Br
CID100002435	Brc1c(NC2=NCCN2)ccc2nccnc12
CID100002441	O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
CID100002442	CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1
CID100002443	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
CID100002462	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CID100002471	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
CID100002474	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
CID100002476	CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
CID100002477	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
CID100002478	CS(=O)(=O)OCCCCOS(C)(=O)=O
CID100002479	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
CID100002484	CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
CID100002487	Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
CID100002512	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
CID100002519	Cn1c(=O)c2c(ncn2C)n(C)c1=O
CID100002520	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
CID100002522	C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CID100002524	C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CID100002540	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CID100002541	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CID100002547	C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O.NCCC[C@H](N)CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC1=O
CID100002548	COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
CID100002550	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
CID100002551	C[N+](C)(C)CCOC(N)=O.[Cl-]
CID100002554	NC(=O)N1c2ccccc2C=Cc2ccccc21
CID100002559	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CID100002563	C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
CID100002564	CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
CID100002576	CCCC(C)(COC(N)=O)COC(=O)NC(C)C
CID100002578	O=NN(CCCl)C(=O)NCCCl
CID100002583	CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
CID100002585	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
CID100002609	N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
CID100002610	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
CID100002617	Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
CID100002622	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1
CID100002631	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1
CID100002637	CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
CID100002646	C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
CID100002650	CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O
CID100002655	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
CID100002656	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1
CID100002658	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
CID100002662	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CID100002663	CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
CID100002666	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1
CID100002675	C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1
CID100002676	COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
CID100002678	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CID100002684	C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
CID100002708	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
CID100002712	CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
CID100002713	NC(=NCCCCCCN=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1
CID100002719	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CID100002720	NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
CID100002725	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
CID100002726	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CID100002727	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CID100002732	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
CID100002733	O=c1[nH]c2cc(Cl)ccc2o1
CID100002749	Cc1cc(C2CCCCC2)n(O)c(=O)c1
CID100002751	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O
CID100002754	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
CID100002756	CN=C(NC#N)NCCSCc1nc[nH]c1C
CID100002762	CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
CID100002764	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
CID100002767	Cl[Pt]Cl.N.N
CID100002771	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
CID100002781	CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
CID100002786	CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
CID100002789	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
CID100002791	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
CID100002792	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl
CID100002794	CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
CID100002800	CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
CID100002801	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
CID100002802	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CID100002803	Clc1cccc(Cl)c1NC1=NCCN1
CID100002806	COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
CID100002809	O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
CID100002812	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CID100002818	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CID100002826	COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
CID100002828	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
CID100002833	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CID100002881	[Na]
CID100002883	C/C=C/C(=O)N(CC)c1ccccc1C
CID100002891	C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O.[C-]#N.[Co+3]
CID100002895	CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
CID100002905	CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
CID100002907	O=P1(N(CCCl)CCCl)NCCCO1
CID100002909	[V]
CID100002913	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
CID100002914	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
CID100002949	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
CID100002951	O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
CID100002955	Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
CID100002958	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
CID100002972	Cc1c(O)c(=O)ccn1C
CID100002973	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
CID100002978	O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1
CID100002995	CNCCCN1c2ccccc2CCc2ccccc21
CID100003000	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
CID100003003	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CID100003007	CC(N)Cc1ccccc1
CID100003008	COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
CID100003009	NCCCC(N)(C(=O)O)C(F)F
CID100003015	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
CID100003016	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CID100003019	CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
CID100003032	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CID100003038	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
CID100003040	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
CID100003042	CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
CID100003043	O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
CID100003056	C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CID100003059	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
CID100003060	CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CID100003062	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
CID100003063	COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341
CID100003066	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
CID100003075	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
CID100003080	OCC(S)CS
CID100003100	CN(C)CCOC(c1ccccc1)c1ccccc1
CID100003105	CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
CID100003108	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
CID100003114	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
CID100003117	CCN(CC)C(=S)SSC(=S)N(CC)CC
CID100003121	CCCC(CCC)C(=O)O
CID100003125	CC(N)(Cc1ccc(O)cc1)C(=O)O
