drug_name,adr_text,smiles
ACIPHEX,malformation. Anxiety. Periodonta. Gingiva. Bon. operation. arter. Intramedullar. Malaise. ro. Glaucoma. issue. Pruritus. Abdomina. deterioration. Squamou. Emotiona. fracture. arteriovenou. reflu. fibrillation. Produc. distress. cel. Injury. pain. Atria. graft. o. disease. substitutio. Genera. Ri. Transfusion. recession. healt. Cerebrovascula. insertion. Reflu. skin. laryngitis. turnove. Gastrooesophagea. Periphera. Hypersensitivity. carcinom. Femu. osteopathy. Osteoporosis. physica. thrombosis. Pain. Rash. Lo,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+]
ACITRETIN,Join. rang. Periarthritis. motio. Oedema. decreased. Synovitis. o,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC
ACLASTA,C-reactiv. Pyrexia. ulcer. pulmonar. protei. Mobilit. Iridocyclitis. haematophagic. i. Hypokinesia. lim. haemorrhage. Malaise. disorder. Infection. Histiocytosi. Neoplas. Nasa. fracture. Underdose. Cerebra. Dysuria. Platele. Headache. Abasia. Chroni. Bronchopulmonar. Haemoglobi. prolonged. increased. Anaemia. Dyspepsia. Uppe. disease. Sensor. congestion. Fall. aspergillosis. disturbance. Ri. Facia. Acetabulu. Respirator. Myalgia. malignant. decreased. Nerv. compression. Decubitu. Pneumonia. coun. Nausea. extremity. Coma. Cardia. Bloo. obstructiv. Prothrombi. creatinin. bone. Death. Crohn^. tim. Diarrhoea. failure. Nasopharyngitis. Pai. Wris. Thrombosis,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
ACLIDINIUM,Death,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5
ACTONEL,discomfort. interaction. Ageusia. Gingiva. bleeding. haemorrhage. Dru. Alopecia. Depression. Recta. tuberculosi. Mycobacteriu. comple. Headache. Ches. positive. tes. Anosmia,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)[O-].[Na+]
ACTOS,. Cardia. Flui. retention. mellitus. diabete. failure. Typ,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
ACTRAPID,Septi. shock,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN
ACUPAN,stroke. Bon. failure. Thrombocytopenia. marro. Ischaemi,CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3.Cl
ACYCLOVIR,Cytomegaloviru. Diplopia. oedema. Dizziness. Febril. Menta. B. Neuropath. haemorrhage. incontinence. Urinar. disorder. graf. haemorrhagic. recurrent. Pruritus. viru. Pulmonar. peripheral. Los. statu. hos. consciousness. Arthralgia. Acut. alveola. changes. Platele. neutropenia. Faeca. Infusio. reaction. o. disease. Flushing. infection. relate. Unevaluabl. Cystiti. Respirator. pressur. decreased. coun. Bloo. Pneumonia. versu. leukaemi. myeloi. Adenoviru. movemen. Ey. Rash. Dyskinesia. failure. absent. Vagina. event. Puls. diastoli. Graf,C1=NC2=C(N1COCCO)N=C(NC2=O)N
ADALAT,Cardia. Memor. infarction. i. Diarrhoea. failure. Respirator. Myocardia. Epistaxis. impairment. Pai. extremity,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
ADALAT CC,haematoma. Subdura,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
ADARTREL,Metastase. bone. fracture. Ri. Breas. t. cance. Pathologica. recurrent,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1.Cl
ADCIRCA,sensatio. Lun. movements. process. Sinusitis. Ora. sit. Infection. Hypoacusis. Intervertebra. Toot. Feelin. Ea. Tinnitus. swelling. devic. statu. Produc. Medica. breathing. abnormal. flush. discolouration. Blister. Paraesthesia. Vomiting. Scleroderma. Frequen. trac. Calcinosis. Dru. Candid. techniqu. arteria. congestive. Cardia. Gastrointestina. ure. Cathete. Rash. Diarrhoea. Arthritis. Breas. Devic. allergy. pectoris. Ski. Throa. Insomnia. Pyrexia. Oropharyngea. leakage. prescribin. upper. Menta. Dyspnoea. pai. haemorrhage. issue. Malaise. Seasona. Pruritus. Middl. Deafnes. Nasa. reflu. Palpitations. Hepati. changes. Uppe. usag. Rena. unilateral. infection. Gout. ineffective. protrusion. mouth. herpes. congestion. Gai. Visua. Swelling. pruritus. Bac. decreased. hypertension. saturatio. tes. discomfort. Hearin. impaired. enzym. bowe. Hypersensitivity. Hear. Cough. injury. Bronchitis. Mout. Pain. impairment. failure. rash. Flui. Generalise. oedema. Dizziness. respirator. Weigh. Clostridia. Erythema. Sinu. Haemorrhage. eye. disorder. failur. Epistaxis. Abdomina. peripheral. Decrease. Arthralgia. tub. Eustachia. Hyperhidrosis. functio. Laryngea. Dyspepsia. disease. Unevaluabl. error. Fatigue. produc. Syncope. Hypotension. Localise. disturbance. Retching. Myalgia. ea. Asthenia. Bloo. Angin. implantation. Pneumonia. Nausea. irritation. Laceration. Periphera. Gastrooesophagea. Oxyge. creatinin. Hea. Dr. Abnorma. cold. event. potassiu. Nasopharyngitis. Arthropathy. Wron. rat. Oedem. Wheezing. Anxiety. dis. appetite. retention. complication. Influenza. i. Eructation. Urinar. Depression. dryness. Deafness. Ches. Rhinorrhoea. Pulmonar. Gastri. Oedema. obstruction. Dehydration. Headache. pain. Live. increased. effusion. Fall. Ho. pressur. Recta. Respirator. bacteria. Dysphonia. Ey. Incisio. hypersensitivity. Chills. packagin,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
ADDERALL,Sinu. Depression. disorder. Crying. Pruritus. Diseas. Menstruatio. Nasa. Activitie. progression. o. Psychoti. Flushing. livin. ineffective. irregular. Dru. Burnin. dail. discomfort. impaired. headache. sensation,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O
ADDERALL XR,discomfort. Nasa. Flushing. abuse. headache. Bradyphrenia. sensation. Sinu. Burnin. Depression. Dru. Lega. problem. Pruritus,CC(CC1=CC=CC=C1)N
ADRIACIN,Bacteria. Gingiva. Ora. i. disorder. failur. cance. Nephrogeni. Mitra. swelling. Loos. anaemia. Malignan. bleeding. progression. neoplas. Gingivitis. erythema. incompetence. diseas. o. Anaemia. Rena. Osteonecrosi. infection. Aorti. Periodontitis. jaw. II. valv. Angin. chronic. Breas. mixed. impairment. pectoris. Tenderness. Pai. bon. tooth. Expose. stag,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
ADRIAMYCIN,peripheral. hypersensitivit. Febril. erythrodysaesthesi. Neuropath. syndrome. Nai. Arthralgia. Diarrhoea. Typ. Myalgia. I. neutropenia. toxicity. Asthenia. Palmar-planta. reaction. Ski,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
ADVAIR HFA,Photophobia. lim. Visio. Addison^. qualit. Adrena. Produc. Dru. inflammation. Cardia. Gastrointestina. Ocula. Breas. Rash. Investigation. Thrombosis. expirator. Diplopia. Dyspnoea. Dee. issue. Lacrimatio. Force. deterioration. Nasa. fracture. hyperaemia. Uppe. Rena. metastatic. ineffective. airwa. Gai. uppe. congestion. Bac. decreased. blurred. Cough. thrombosis. volum. Pain. failure. cance. disorder. Abdomina. Intestina. vei. disease. Genera. Fatigue. Hypotension. disturbance. Alopecia. healt. Asthenia. Pneumonia. Nasopharyngitis. Wris. mucosa. Scab. Adenocarcinom. Increase. secretion. Asthma. Dehydration. obstruction. Injury. pain. o. increased. Fall. insufficiency. Ey. physica. hypersensitivity. hypertrophy. colon,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H](C3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF.C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O
ADVICOR,. mellitus. diabete. Typ,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C.C1=CC(=CN=C1)C(=O)O
ADVIL,Sjogren^. . Lun. Muscula. Ora. lim. infectio. defect. female. Toot. Mitra. Breat. swelling. Hypertension. consciousness. Produc. cel. Atria. abnormal. flush. Hypoalbuminaemia. Inflammation. distres. Synovitis. relate. incomplete. trac. Dru. Regurgitation. neuropathy. Productiv. Purulen. embolism. Cardia. Gastrointestina. rati. Breas. Arthritis. Diarrhoea. murmur. effec. Pai. gastrointestina. Pleura. Join. Diplopia. Pneumococca. Insomnia. Rheumatoi. diabete. Dyspnoea. haemorrhage. cholestero. Dee. neoplasm. heigh. water. issue. cough. dos. deterioration. Gastritis. fracture. hernia. reflu. distress. Platele. incompetence. reaction. Uppe. Typ. infection. ineffective. pneumonia. Swelling. Psoriasis. valv. decreased. Oesophagea. tes. bacterial. apnoe. Hypersensitivity. Cholestasis. thrombosis. Cough. injury. Pain. Ras. respirator. generalised. Bronchiectasis. Dizziness. Weigh. mellitus. Erythema. disorder. blistering. Epistaxis. cance. Treatmen. Abdomina. Benig. Slee. Whit. anaemia. Decrease. Acut. vei. Hyperhidrosis. Umbilica. disease. Flushing. Genera. Fatigue. Hypoaesthesia. Amnesia. discharge. oesophagea. Contusion. Alopecia. healt. weakness. Bloo. coun. Asthenia. Filariasis. Hepatocellula. Nausea. Gastrooesophagea. Lowe. Dysgeusia. us. mucosa. appetite. Internationa. Exposur. Laborator. i. Folliculitis. Urinar. t. omission. Ches. Diabeti. fluctuation. Pulmonar. spasm. Gastri. Los. Emotiona. Iro. contaminate. Headache. Injury. pain. Infusio. noncompliance. deficienc. o. tast. increased. effusion. Fall. lung. normalise. Ho. pressur. syndrome. extremity. Organisin. Ey. physica. odour. Asthma. Bod. bloo. septa,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
ADVIL ALLERGY SINUS,ineffective. Dru,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
ADVIL MIGRAINE,Urticaria. ineffective. Dru. Rash,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
ADVIL PM,Adrena. insufficiency,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
AERIUS,state. use. Wheezing. Urinar. issue. Roo. cyst. Confusiona. cana. Bronchia. Produc. obstruction. labe. infection. Cervica. Ovaria. trac. Rhonchi. Cholelithiasis. Somnolence. us. Of,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
AEROLIN,Pertussis. Erythema. Dyspnoea. Cough. Cyanosis,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
AFINITOR,Metastase. Flushing. Angioedema. exfoliation. bone. Death. Erythema. Swelling. jaw. Ski. injury. t. Cholecystitis. toxicity. Live. Pruritus. o. Osteonecrosi,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC
AFINITOR DISPERZ,Seizure. Weigh. Dru. leve. decreased. increased,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC
AFRIN NO DRIP,ineffective. Dru,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl
AGOMELATINE,Oxyge. Suicid. intubation. Hypotension. Electrocardiogra. Endotrachea. Tachycardia. Poisoning. attempt. decreased. Overdose. saturatio. prolonged. Coma. Q,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC
AKINETON,Amenorrhoea. Muscula. Weigh. Dyspnoea. Muscl. cance. Galactorrhoea. Aggression. Abdomina. Palpitations. cel. Dysuria. ger. enlargement. Hyperhidrosis. pain. increased. Ovaria. Fatigue. Swelling. prolacti. II. weakness. Bloo. spasms. Agitation. Dyskinesia. Breas. Tremor. stag,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
AKTIFERRIN,Bronchiolitis. Apnoea. Rhinorrhoea. hernia. Cyanosis. genital. Umbilica. Oedem. Inguina,C([C@@H](C(=O)O)N)O.[O-]S(=O)(=O)[O-].[Fe+2]
ALAVERT,ineffective. Dru,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
ALBENDAZOLE,Death,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
ALBUTEROL,Anxiety. Exercis. Wheezing. Bacteria. Dizziness. pulmonar. Menta. Toxicit. cysti. Visio. Sinusitis. Dyspnoea. Haemorrhage. t. issue. Infection. Neutropenia. disorder. systemi. Nephrogeni. Malaise. qualit. Ches. Pulmonar. event. Whit. statu. Infectiv. Hypertension. Produc. variou. distress. Haematochezia. cel. changes. pain. Haematuria. o. Anaemia. interaction. infection. substitutio. Hypoaesthesia. agents. Dru. Contusion. Tachycardia. Respirator. Disorientation. decreased. coun. Pneumonia. Advers. embolism. discomfort. Moo. Gastrointestina. Anger. Hypersensitivity. toleranc. Death. blurred. Cough. Diarrhoea. fibrosis. Tremor. Asthma. bloo. swings. exacerbatio,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
ALBUTEROL SULFATE,Dizziness. Clostridiu. product. t. Accidenta. acuit. difficil. reduced. pain. hyperaemia. Flushing. infection. exposur. Visua. Burnin. irritation. Nausea. Ocula. sensation. Ey,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O
ALCOHOL,abuse. Bradyphrenia. Dru. Depression. Lega. Chills. Headache. pain. problem. Abdomina. Nausea,CCO
ALDACTAZIDE,. mellitus. diabete. Typ,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
ALDACTONE,Pyrexia. generalise. Haemorrhage. failur. Overdose. outpu. Melaena. peripheral. Acut. exanthematou. acute. Dehydration. segmen. abnormal. S. Electrocardiogra. Rena. interaction. Vomiting. Syncope. pustulosis. Subdura. Dru. decreased. Asthenia. Advers. Nausea. haematoma. Urin. Tremor. event. Oedem,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
ALDACTONE A,Death. tachycardia. Ventricula,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
ALDOMET,Pulmonar. Rena. stenosis. Proteinuria. pregnancy. Abortio. arter. exposur. Hypertension. Materna. Exposur. durin. spontaneous. arteria. hypertension,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N
ALENDRONATE,Pulmonar. ineffective. Invasiv. carcinoma. Dru. arteria. hypertension. breas. ducta,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
ALENDRONIC ACID,use. Insomnia. respirator. administratio. pregnancy. Muscula. Mobilit. Exposur. Bon. coldness. Osteonecrosis. Incorrec. eye. disorder. Ches. Feelin. swelling. fracture. labe. Abasia. pain. Hyperhidrosis. dru. reaction. hyperaemia. Musculoskeleta. Paraesthesia. infection. Hypoaesthesia. trac. Fall. durin. Myalgia. Loca. Foeta. decreased. Asthenia. weakness. Pneumonia. Advers. hot. discomfort. Lowe. Trismus. Periphera. Ocula. Dr. Ey. Femu. duration. Tremor. stiffness. cardia. Of,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
ALERTEC,discomfort. Dyspareunia. devic. Uterin. defective. Devic. Medica. pain. Abdomina. perforation,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
ALEVE,. Dizziness. pregnancy. Foreig. mellitus. Weigh. diabete. Dyspnoea. haemorrhage. i. Depression. performed. pai. disorder. bod. Rupture. Autoimmun. Adrena. Immunodeficiency. Diseas. Abdomina. procedur. pregnanc. incompatibility. Subcutaneou. devic. Cardio-respirator. progression. device. Palpitations. Pelvi. Medica. contraceptiv. Patient-devic. Menorrhagia. Haemorrhag. Hyperhidrosis. flush. pain. no. arrest. increased. Typ. Psychoti. Dysmenorrhoea. error. ineffective. Fatigue. tract. dislocation. insufficiency. Genita. Tachycardia. Dru. monitorin. Ho. decreased. ectopi. lower. abscess. Nausea. reproductiv. wit. Ectopi. Migraine. Rash. Arthritis. Chills. Devic. hypersensitivity. Vagina,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
ALFAROL,C-reactiv. protei. Hypoproteinaemia. Pyrexia. Biops. Erythema. Dyspnoea. Ches. peripheral. Systemi. Oedem. Lupu. pain. increased. effusion. kidney. lupu. syndrome. Pneumonia. nephritis. erythematosus. Pleura. Nephroti,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
ALFUZOSIN,pneumonia. Hypoacusis. Atypica,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
ALIMTA,Pyrexia. generalised. Oropharyngea. Neuropath. haemorrhage. peripheral. swelling. lea. pain. Vomiting. Recta. syndrome. Stomatitis. Nausea. Periphera. Capillar. face. Rash. Ras. Swellin,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
ALINAMIN F,encephalopathy. Los. consciousness. Hypoxic-ischaemi. o,CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(\CCO)/SSCC2CCCO2)/C
ALKERAN,Overdose. flutter. Atria,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl
ALLEGRA,expirator. Flui. administratio. retention. Weigh. Sinusitis. Applicatio. Muscl. sit. issue. Malaise. Force. administration. peripheral. Inappropriat. pustules. Produc. Haemoglobi. dru. o. increased. schedul. substitutio. error. Fatigue. Seizur. Dru. decreased. lik. spasms. phenomena. Dysgeusia. volum. Asthma. Oedem,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O.Cl
ALLEGRA ALLERGY,Memor. Dru. impairment. omission. dos,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O.Cl
